City,Country,Road Network Pattern (Drive),Shortest Path,Random Walk,Net Simile,Degree Divergence,Laplacian Spectral,NetLSD,Cosine Similarity,Eucledian Distances,Jaccard Similarity,Jaccard Distance
Jerusalem,Israel,Cul-de-sac  (Reference Graph),1,1,1,1,1,1,1,0.985374,0.991525,1
Amsterdam,Netherlands,Cul-de-Sac,0.965993,0.999786,0.10933,0.954346,0.903148,0.002585,0.736353,0.026568,0,0.5
Nairobi,Kenya,Radial,0.994408,0.993902,0.144144,0.99097,0.889542,0.001012,0.71821,0.029302,0,0.5
District of Columbia,USA,Grid,0.915245,0.647009,0.096756,0.848819,0.781039,0.001948,-0.36005,0.008817,0,0.5
Berlin,Germany,Grid,0.779096,0.935018,0.096539,0.862781,0.805078,0.000422,0.832697,0.032154,0,0.5
Helsinki,Finland,Grid,0.966701,0.885884,0.133992,0.944105,0.853475,0.001085,0.903366,0.032087,0,0.5
Toronto,Canada,Grid,0.747387,0.352934,0.083448,0.829165,0.777124,0.000546,-0.32727,0.008605,0,0.5
"St, Petersburg, Florida",USA,Grid,0.840566,1.466878,0.063432,0.653498,0.73192,0.000638,-0.490113,0.008407,0,0.5
"Belgrano, Buenos Aires",Argentina,Grid,0.874357,0.999594,0.071056,0.927587,0.795643,0.000709,-0.979943,0.008635,0,0.5
"Roda Island, Cairo",Egypt,Radial,0.925232,0.67875,0.099781,0.817299,0.805655,0.000193,0.999516,0.186667,0,0.5
"Jumeirah Islands, Dubai",UAE,Linear,0.791326,0.999297,0.091245,0.875262,0.645369,0.000244,0.952907,0.045338,0,0.5
Jakarta,Indonesia,Linear,0.994393,0.994997,0.116366,0.972245,0.824346,0.000379,0.702156,0.012186,0,0.5
Sydney,Australia,Linear,0.552276,0.988024,0.086918,0.880483,0.811555,0.000229,0.577699,0.007446,0,0.5
"Connaught Place, New Delhi",India,Radial,0.990408,0.696391,0.130328,0.9415,0.854369,0.000853,0.928842,0.023185,0,0.5
"Champs-Elysees, Paris",France,Radial,0.964795,0.996529,0.091373,0.95558,0.882266,0.001483,0.704575,0.026274,0,0.5
"Palmanova,Friuli-Venezia Giulia",Italy,Radial,0.711107,0.888497,0.173247,0.855789,0.799205,0.0003,0.850542,0.036983,0,0.5
"Surulere, Lagos",Nigeria,Radial,0.933865,0.925848,0.098612,0.79786,0.829681,0.000443,0.936249,0.02399,0,0.5
Athens,Greece,Shifted Grid,0.974127,0.997476,0.091904,0.956225,0.900233,0.000379,0.961623,0.071204,0,0.5
"Ejecutivo, Mexico City",Mexico,Shifted Grid,0.963341,0,0.079704,0.906695,0.841866,0.005067,-0.599328,0.00736,0,0.5
Copenhagen,Denmark,Shifted Grid,0.978979,0.957564,0.122544,0.957615,0.85719,0.001154,0.817358,0.0295,0,0.5
Mumbai,India,Tree,0.904766,0.892315,0.117842,0.840565,0.821053,0.000693,0.887657,0.024537,0,0.5
"City of Westminster, London",UK,Tree,0.996394,0.864668,0.159629,0.936733,0.853137,0.001048,0.668482,0.024123,0,0.5
