City,Country,Road Network Pattern (Drive),Shortest Path,Random Walk,Net Simile,Degree Divergence,Laplacian Spectral,NetLSD,Cosine Similarity,Eucledian Distances,Jaccard Similarity,Jaccard Distance
Jerusalem,Israel,Cul-de-sac,0.552276,0.98832,0.086918,0.880483,0.811555,0.000229,0.57796,0.007447,0,0.5
Amsterdam,Netherlands,Cul-de-Sac,0.571807,0.986928,0.079351,0.822554,0.806786,0.00021,-0.126852,0.005854,0,0.5
Nairobi,Kenya,Radial,0.608727,0.997337,0.072521,0.866126,0.822071,0.000296,0.982883,0.008337,0,0.5
District of Columbia,USA,Grid,0.768181,0.829452,0.067496,0.719166,0.729047,0.000258,-0.9695,0.004158,0,0.5
Berlin,Germany,Grid,0.888749,1.059383,0.067181,0.829683,0.749705,0.000499,0.029096,0.00611,0,0.5
Helsinki,Finland,Grid,0.693768,0.934114,0.071646,0.886868,0.779395,0.00029,0.171838,0.006312,0,0.5
Toronto,Canada,Grid,0.878572,0.426523,0.059615,0.822962,0.727587,0.000393,-0.960355,0.004094,0,0.5
"St, Petersburg, Florida",USA,Grid,0.864644,49.970187,0.051679,0.586263,0.703691,0.000356,-0.994626,0.004118,0,0.5
"Belgrano, Buenos Aires",Argentina,Grid,0.800149,0.983193,0.053741,0.737007,0.728036,0.000337,-0.728794,0.004747,0,0.5
"Roda Island, Cairo",Egypt,Radial,0.413339,0.813552,0.059693,0.724294,0.751926,0.000105,0.552049,0.007303,0,0.5
"Jumeirah Islands, Dubai",UAE,Linear,0.902804,0.982027,0.083764,0.849304,0.630937,0.003523,0.798049,0.008796,0,0.5
Jakarta,Indonesia,Linear,0.588354,0.972229,0.080937,0.892684,0.720731,0.000576,0.986828,0.018759,0,0.5
Sydney,Australia,Linear (Reference Graph),1,1,1,1,1,1,1,0.993945,1,1
"Connaught Place, New Delhi",India,Radial,0.596474,0.735544,0.071219,0.854983,0.785607,0.000313,0.839008,0.01022,0,0.5
"Champs-Elysees, Paris",France,Radial,0.685995,0.995302,0.074033,0.842121,0.783679,0.00027,-0.172174,0.005837,0,0.5
"Palmanova,Friuli-Venezia Giulia",Italy,Radial,0.890653,0.943736,0.087663,0.882556,0.756376,0.000958,0.062115,0.006238,0,0.5
"Surulere, Lagos",Nigeria,Radial,0.785038,0.971194,0.07242,0.753554,0.75543,0.000473,0.25412,0.006483,0,0.5
Athens,Greece,Shifted Grid,0.490255,0.975002,0.060737,0.713699,0.802889,0.000143,0.331599,0.006787,0,0.5
"Ejecutivo, Mexico City",Mexico,Shifted Grid,0.67712,0,0.058383,0.851917,0.773981,0.00022,-0.999643,0.003892,0,0.5
Copenhagen,Denmark,Shifted Grid,0.65586,0.98722,0.096983,0.93918,0.792796,0.000285,0.00195,0.006023,0,0.5
Mumbai,India,Tree,0.744017,0.94623,0.084334,0.770398,0.763537,0.000341,0.8887,0.010466,0,0.5
"City of Westminster, London",UK,Tree,0.598457,0.918016,0.071498,0.865544,0.771809,0.000188,-0.220858,0.005723,0,0.5
