City,Country,Road Network Pattern (Drive),Shortest Path,Random Walk,Net Simile,Degree Divergence,Laplacian Spectral,NetLSD,Cosine Similarity,Eucledian Distances,Jaccard Similarity,Jaccard Distance
Jerusalem,Israel,Cul-de-sac,0.990408,0.696393,0.130328,0.9415,0.854369,0.000853,0.92895,0.023192,0,0.5
Amsterdam,Netherlands,Cul-de-Sac,0.95328,0.694103,0.137323,0.852996,0.857824,0.000643,0.433295,0.012965,0,0.5
Nairobi,Kenya,Radial,0.995212,0.740284,0.179575,0.938629,0.877581,0.005387,0.92489,0.019501,0,0.5
District of Columbia,USA,Grid,0.924206,0.535515,0.132108,0.918161,0.87736,0.00148,-0.680057,0.006429,0,0.5
Berlin,Germany,Grid,0.799464,0.527083,0.169288,0.941907,0.90405,0.000835,0.568302,0.014457,0,0.5
Helsinki,Finland,Grid,0.971611,0.848496,0.280835,0.942863,0.905165,0.003954,0.6802,0.016115,0,0.5
Toronto,Canada,Grid,0.76333,0.657606,0.121209,0.904398,0.876819,0.001512,-0.654055,0.006316,0,0.5
"St, Petersburg, Florida",USA,Grid,0.857511,0.263372,0.077591,0.808132,0.830177,0.002494,-0.778165,0.006215,0,0.5
"Belgrano, Buenos Aires",Argentina,Grid,0.882572,0.688066,0.091705,0.87271,0.711076,0.003983,-0.984041,0.006636,0,0.5
"Roda Island, Cairo",Egypt,Radial,0.913574,0.992843,0.137209,0.949042,0.908116,0.000158,0.916867,0.021271,0,0.5
"Jumeirah Islands, Dubai",UAE,Linear,0.80981,0.685548,0.089303,0.94413,0.626466,0.000343,0.997452,0.042824,0,0.5
Jakarta,Indonesia,Linear,0.998586,0.671963,0.157504,0.887288,0.736265,0.000683,0.915979,0.021415,0,0.5
Sydney,Australia,Linear,0.596474,0.735734,0.071219,0.854983,0.785607,0.000313,0.838991,0.01022,0,0.5
"Connaught Place, New Delhi",India,Radial (Reference Graph),1,1,1,1,1,1,1,0.997633,0.983721,1
"Champs-Elysees, Paris",France,Radial,0.968542,0.71452,0.145679,0.881127,0.898175,0.00198,0.391539,0.012723,0,0.5
"Palmanova,Friuli-Venezia Giulia",Italy,Radial,0.731499,0.776069,0.159517,0.930165,0.876057,0.000464,0.595184,0.014882,0,0.5
"Surulere, Lagos",Nigeria,Radial,0.944994,0.77024,0.136794,0.923226,0.895493,0.00092,0.739467,0.012802,0,0.5
Athens,Greece,Shifted Grid,0.964717,0.674821,0.147812,0.830598,0.821038,0.000263,0.791548,0.01808,0,0.5
"Ejecutivo, Mexico City",Mexico,Shifted Grid,0.964594,0,0.115685,0.951567,0.888011,0.000739,-0.853247,0.005632,0,0.5
Copenhagen,Denmark,Shifted Grid,0.982906,0.779226,0.142928,0.947835,0.913115,0.003255,0.545755,0.01407,0,0.5
Mumbai,India,Tree,0.90748,0.800674,0.161453,0.959273,0.898235,0.003668,0.995099,0.08695,0,0.5
"City of Westminster, London",UK,Tree,0.994589,0.835714,0.306426,0.953969,0.909904,0.000471,0.345383,0.012246,0,0.5
