City,Country,Road Network Pattern (Drive),Shortest Path,Random Walk,Net Simile,Degree Divergence,Laplacian Spectral,NetLSD,Cosine Similarity,Eucledian Distances,Jaccard Similarity,Jaccard Distance
Jerusalem,Israel,Cul-de-sac,0.996394,0.864729,0.159629,0.936733,0.853137,0.001048,0.667881,0.024102,0,0.5
Amsterdam,Netherlands,Cul-de-Sac,0.969227,0.86144,0.155787,0.917058,0.86786,0.001745,0.995394,0.163528,0,0.5
Nairobi,Kenya,Radial,0.99871,0.915345,0.252446,0.943636,0.870151,0.000515,-0.037913,0.015281,0,0.5
District of Columbia,USA,Grid,0.934323,-0.097027,0.139291,0.954138,0.891428,0.000685,0.453623,0.012681,0,0.5
Berlin,Germany,Grid,0.815454,3.568938,0.148864,0.968571,0.908661,0.000301,0.968338,0.068652,0,0.5
Helsinki,Finland,Grid,0.976653,0.999852,0.257454,0.994718,0.905046,0.000533,0.922648,0.036303,0,0.5
Toronto,Canada,Grid,0.785018,0.296216,0.109156,0.957669,0.887476,0.000359,0.48445,0.012403,0,0.5
"St, Petersburg, Florida",USA,Grid,0.870219,237.145774,0.078897,0.775829,0.837522,0.000397,0.321135,0.011512,0,0.5
"Belgrano, Buenos Aires",Argentina,Grid,0.896898,0.853404,0.092013,0.858697,0.714184,0.000423,-0.506418,0.009527,0,0.5
"Roda Island, Cairo",Egypt,Radial,0.920906,1.201766,0.157411,0.911353,0.911602,0.000237,0.690923,0.025625,0,0.5
"Jumeirah Islands, Dubai",UAE,Linear,0.823838,0.849926,0.095492,0.839894,0.614305,0.000198,0.410986,0.016051,0,0.5
Jakarta,Indonesia,Linear,0.995836,0.831773,0.145943,0.847341,0.736011,0.000279,-0.060689,0.008161,0,0.5
Sydney,Australia,Linear,0.598457,0.919222,0.071498,0.865544,0.771809,0.000188,-0.221391,0.005722,0,0.5
"Connaught Place, New Delhi",India,Radial,0.994589,0.833229,0.306426,0.953969,0.909904,0.000471,0.344896,0.012243,0,0.5
"Champs-Elysees, Paris",France,Radial,0.9763,0.8896,0.145072,0.942804,0.892284,0.000615,0.998742,0.217235,0,0.5
"Palmanova,Friuli-Venezia Giulia",Italy,Radial,0.75272,0.976721,0.191619,0.98492,0.886211,0.000234,0.959559,0.064161,0,0.5
"Surulere, Lagos",Nigeria,Radial,0.955342,0.968671,0.124611,0.885132,0.907149,0.000311,0.886926,0.021672,0,0.5
Athens,Greece,Shifted Grid,0.972672,0.835372,0.13594,0.85191,0.822755,0.000594,0.846613,0.035171,0,0.5
"Ejecutivo, Mexico City",Mexico,Shifted Grid,0.971507,0,0.113875,0.947621,0.893408,0.001285,0.195224,0.009523,0,0.5
Copenhagen,Denmark,Shifted Grid,0.986532,0.969149,0.159727,0.989494,0.90747,0.00055,0.974758,0.069428,0,0.5
Mumbai,India,Tree,0.923747,0.991527,0.131029,0.892851,0.887054,0.000417,0.250391,0.012362,0,0.5
"City of Westminster, London",UK,Tree (Reference Graph),1,1,1,1,1,1,1,0.973714,0.991124,1
